setting,cp_mode,target_coverage,worst_window_coverage,width_step_mean,width_std,control_alpha_step_mean,control_alpha_std,comment
conformal_acp_lags96_modellinear_cphopcpt_a0.1_cw200_seed0_modeonline_debug-0,hopcpt,0.9,0.95,0.0018406900506529797,0.035832907772428015,0.0,4.163336342344337e-17,
conformal_acp_lags96_modellinear_cpacp_a0.1_cw200_seed0_modeonline_debug-0,acp,0.9,0.72,0.03476082918612971,0.08003233352077288,0.0051644905738931594,0.033035718444155905,
conformal_acp_lags96_modellinear_cpacp_a0.1_cw200_seed0_modeonline_debug-0,acp,0.9,0.69,0.018475435674851118,0.041360131778388515,0.004605906672408732,0.047010627714840054,
conformal_acp_lags96_modelAutoformer_cpacp_a0.1_cw200_seed0_modeonline_debug-0,acp,0.9,0.65,0.034774315649506046,0.0960508963253689,0.004362955606639992,0.050653179227522487,
conformal_acp_lags96_modelAutoformer_cpacp_a0.1_cw200_seed0_modeonline_debug-0,acp,0.9,0.65,0.038606617160994915,0.09519361878317836,0.003944383880947915,0.04518298558526385,
conformal_acp_lags96_modelAutoformer_cpacp_a0.1_cw200_seed0_modeonline_debug-0,acp,0.9,0.65,0.038606617160994915,0.09519361878317836,0.003944383880947915,0.04518298558526385,
conformal_acp_lags96_modelAutoformer_cpacp_a0.1_cw200_seed0_modeonline_debug-0,acp,0.9,0.65,0.038606617160994915,0.09519361878317836,0.003944383880947915,0.04518298558526385,
conformal_acp_lags96_modelAutoformer_cpacp_a0.1_cw200_seed0_modeonline_debug-0,acp,0.9,0.65,0.038606617160994915,0.09519361878317836,0.003944383880947915,0.04518298558526385,
conformal_acp_lags96_modelAutoformer_cpacp_a0.1_cw200_seed0_modeonline_debug-0,acp,0.9,0.65,0.038606617160994915,0.09519361878317836,0.003944383880947915,0.04518298558526385,
conformal_acp_lags96_modelTransformer_cpacp_a0.1_cw200_seed0_modeonline_debug-0,acp,0.9,0.55,0.01622945671167993,0.1801402613469691,0.003579535814295851,0.08063404305730656,
conformal_acp_lags96_modelInformer_cpacp_a0.1_cw200_seed0_modeonline_debug-0,acp,0.9,0.42,0.018962297257901696,0.26409968015064217,0.0040279138735409645,0.08247611949715378,
conformal_acp_lags96_modelReformer_cpacp_a0.1_cw200_seed0_modeonline_debug-0,acp,0.9,0.52,0.011265842194522108,0.08551314669189061,0.0033696336341607442,0.04854363772037771,
