setting,cp_mode,target_coverage,coverage,coverage_gap,avg_width,ces,rcs,point_mse,point_mae,comment
conformal_acp_lags96_modellinear_cpaci_a0.1_cw200_seed0_modeonline_debug-0,aci,0.9,0.8839779005524862,0.01602209944751387,0.5072804200745995,0.41007933800585994,0.37393833337279375,0.027333769261477365,0.12550092184175196,
conformal_acp_lags96_modellinear_cpagaci_a0.1_cw200_seed0_modeonline_debug-0,agaci,0.9,0.8950276243093923,0.004972375690607711,0.5492569631498565,0.41087421158027926,0.3990972610032965,0.027333769261477365,0.12550092184175196,
conformal_acp_lags96_modellinear_cphopcpt_a0.1_cw200_seed0_modeonline_debug-0,hopcpt,0.9,0.9723756906077348,0.07237569060773474,0.707278797687576,0.2852189527744951,0.17428863313216775,0.027333769261477365,0.12550092184175196,
conformal_acp_lags96_modellinear_cphopcpt_a0.1_cw200_seed0_modeonline_debug-0,hopcpt,0.9,0.9723756906077348,0.07237569060773474,0.707278797687576,0.2852189527744951,0.17428863313216775,0.027333769261477365,0.12550092184175196,
conformal_acp_lags96_modellinear_cphopcpt_a0.1_cw200_seed0_modeonline_debug-0,hopcpt,0.9,0.9723756906077348,0.07237569060773474,0.707278797687576,0.2852189527744951,0.17428863313216775,0.027333769261477365,0.12550092184175196,
conformal_acp_lags96_modellinear_cpacp_a0.1_cw200_seed0_modeonline_debug-0,acp,0.9,0.7790055248618785,0.12099447513812156,0.40706200212154325,0.3728951702518265,0.20262196422090148,0.027333769261477365,0.12550092184175196,
conformal_acp_lags96_modellinear_cpacp_a0.1_cw200_seed0_modeonline_debug-0,acp,0.9,0.847898599066044,0.05210140093395599,0.1996759150934472,0.5642970404660387,0.47471577235407136,0.0045853322164198605,0.05284522497460179,
conformal_acp_lags96_modelAutoformer_cpacp_a0.1_cw200_seed0_modeonline_debug-0,acp,0.9,0.8405603735823882,0.0594396264176118,0.37904035429972904,0.48284494857184446,0.3737454344918029,0.018639657344612304,0.10370940305524039,
conformal_acp_lags96_modelAutoformer_cpacp_a0.1_cw200_seed0_modeonline_debug-0,acp,0.9,0.829219479653102,0.07078052034689797,0.4117253836234419,0.4493230548452943,0.3246381642345518,0.021343399446011095,0.11330001214135493,
conformal_acp_lags96_modelAutoformer_cpacp_a0.1_cw200_seed0_modeonline_debug-0,acp,0.9,0.829219479653102,0.07078052034689797,0.4117253836234419,0.4493230548452943,0.3246381642345518,0.021343399446011095,0.11330001214135493,
conformal_acp_lags96_modelAutoformer_cpacp_a0.1_cw200_seed0_modeonline_debug-0,acp,0.9,0.829219479653102,0.07078052034689797,0.4117253836234419,0.4493230548452943,0.3246381642345518,0.021343399446011095,0.11330001214135493,
