t,cov_w,gap_w,width_mean_w,width_std_w,width_step_mean_w,ces_w,rcs_w,control_state,control_std_w,control_step_mean_w,covered_t,width_t
1,nan,nan,nan,nan,nan,nan,nan,0.3,nan,nan,1.0,0.2876617683121405
2,nan,nan,nan,0.0016867406034295485,0.003373481206859097,nan,nan,0.3,0.0,0.0,1.0,0.2842882871052814
3,nan,nan,nan,0.0018742139181393905,0.003878421752045891,nan,nan,0.3,0.0,0.0,1.0,0.2886716494025141
4,nan,nan,nan,0.004412865052817794,0.0063437543000805325,nan,nan,0.3,0.0,0.0,1.0,0.2773972300063643
5,nan,nan,nan,0.0058883077079102805,0.005711944171366223,nan,nan,0.3,0.0,0.0,1.0,0.273580716221141
6,nan,nan,nan,0.005530752114000403,0.005618559943569945,nan,nan,0.3,0.0,0.0,1.0,0.27882573925352583
7,nan,nan,nan,0.005388469816503586,0.005966735731146033,nan,nan,0.3,0.0,0.0,1.0,0.2865333539225523
8,nan,nan,nan,0.005078402803974824,0.005433902314152242,nan,nan,0.3,0.0,0.0,1.0,0.2842964521103628
9,nan,nan,nan,0.00478890277190454,0.004921896497310341,nan,nan,0.3,0.0,0.0,1.0,0.2829585963309458
10,nan,nan,nan,0.00470726719430649,0.004801564734064851,nan,nan,0.3,5.551115123125783e-17,0.0,1.0,0.2867975069590467
11,nan,nan,nan,0.006043135958047195,0.006098681733120381,nan,nan,0.3,5.551115123125783e-17,0.0,1.0,0.26902477223442656
12,nan,nan,nan,0.0059982021434976445,0.007227893640942834,nan,nan,0.3,5.551115123125783e-17,0.0,1.0,0.2875447849535939
13,nan,nan,nan,0.006761755817707418,0.008168903564128213,nan,nan,0.3,5.551115123125783e-17,0.0,1.0,0.26902477223442656
14,nan,nan,nan,0.00661313711103075,0.008145367020095358,nan,nan,0.3,5.551115123125783e-17,0.0,1.0,0.2768877007261277
15,nan,nan,nan,0.0066968481590213335,0.00784723400213559,nan,nan,0.3,5.551115123125783e-17,0.0,0.0,0.2729161959574691
16,nan,nan,nan,0.006519580944204425,0.0076380021273499,nan,nan,0.3,0.0,0.0,1.0,0.2776249518378193
17,nan,nan,nan,0.00639464610418569,0.007246573562698186,nan,nan,0.3,0.0,0.0,1.0,0.27624980674489685
18,nan,nan,nan,0.006373814740944869,0.00696241780933576,nan,nan,0.3,0.0,0.0,1.0,0.2738338809893599
19,nan,nan,nan,0.00651699165237232,0.007396613354586745,nan,nan,0.3,0.0,0.0,1.0,0.2886118186132134
20,nan,nan,nan,0.0063572298028664025,0.007515400518724323,nan,nan,0.29959234686620007,8.884594071257656e-05,2.145542809473281e-05,1.0,0.27895824914001266
21,nan,nan,nan,0.006208368235063706,0.007141399622311384,nan,nan,0.29992556103927,8.74656288332379e-05,3.704336534349206e-05,1.0,0.2789936317304782
22,nan,nan,nan,0.006201526880303462,0.007047035389873618,nan,nan,0.2999979901480603,8.556597395078048e-05,3.872840074572078e-05,1.0,0.2738338809893599
23,nan,nan,nan,0.006741139321158428,0.0076514397147756244,nan,nan,0.29999994573399763,8.380480939149511e-05,3.70569091635222e-05,1.0,0.29417781152707767
24,nan,nan,nan,0.006737537115586857,0.00821429430569567,nan,nan,0.29999999853481796,8.214805015317727e-05,3.544803488773111e-05,1.0,0.273580716221141
25,nan,nan,nan,0.006714451375208867,0.007882580574967471,nan,nan,0.2999999999604401,8.05853413513192e-05,3.397109283499733e-05,1.0,0.2738338809893599
26,nan,nan,nan,0.006673123684600253,0.0075816806951694545,nan,nan,0.29999999999893184,7.910814402782035e-05,3.261225066126805e-05,1.0,0.27419396456937695
27,nan,nan,nan,0.006613851622852695,0.007309984682164406,nan,nan,0.2999999999999711,7.770897161138237e-05,3.1357933368114654e-05,0.0,0.27471154892641514
28,nan,nan,nan,0.0066916794859544085,0.007185606320939042,nan,nan,0.2999999999999992,7.638121956747129e-05,3.0196528429595173e-05,0.0,0.2707597799973356
29,nan,nan,nan,0.00660545371159782,0.007351493394113372,nan,nan,0.3,7.511903664633864e-05,2.9118080985708816e-05,1.0,0.28259022436715586
30,nan,nan,nan,0.006621763825499481,0.007231205028747347,nan,nan,0.3,7.391721847592626e-05,2.8114009227580924e-05,1.0,0.2864533551656545
31,nan,nan,nan,0.006646056814993277,0.007470774398110221,nan,nan,0.3,7.277111886749525e-05,2.717687558666156e-05,1.0,0.27203506905602093
32,nan,nan,nan,0.0066330458534864835,0.007258896045013694,nan,nan,0.3,7.16765754681561e-05,2.630020218064022e-05,0.0,0.2729376145081388
33,nan,nan,nan,0.0067211600429028205,0.007512068823329852,nan,nan,0.3,7.062984711153511e-05,2.5478320862495213e-05,0.0,0.2882980394592696
34,nan,nan,nan,0.00662173398539159,0.007564059443719043,nan,nan,0.3,6.962756076303772e-05,2.4706250533328692e-05,0.0,0.27907028016309643
35,nan,nan,nan,0.0065591152513859285,0.00746459040377677,nan,nan,0.3,6.866666637838293e-05,2.3979596105877847e-05,0.0,0.2832523922487782
36,nan,nan,nan,0.006597509238880689,0.0073690982198114496,nan,nan,0.3,6.774439832335944e-05,2.329446478856705e-05,0.0,0.28737475621376873
37,nan,nan,nan,0.006928341467097233,0.007357331439458412,nan,nan,0.3,6.685824226122392e-05,2.2647396322217966e-05,0.0,0.29432025034087084
38,nan,nan,nan,0.00685664587099978,0.007455457353922717,nan,nan,0.3,6.600590661831291e-05,2.203530452972559e-05,1.0,0.28333226006623313
39,nan,nan,nan,0.00680381486667475,0.00729113709952287,nan,nan,0.3,6.51852979006502e-05,2.145542809473281e-05,1.0,0.28454354775296165
40,nan,nan,nan,0.006743784734472862,0.0071177934244995205,nan,nan,0.3,6.439449926395266e-05,2.0905288912816584e-05,1.0,0.2840128139793494
41,nan,nan,nan,0.0076463424179004785,0.007456773149810536,nan,nan,0.3,6.363175184358709e-05,2.038265668999617e-05,1.0,0.30468979641628957
42,nan,nan,nan,0.007565706842600806,0.007789008722752506,nan,nan,0.3,6.289543843514743e-05,1.9885518721947483e-05,1.0,0.28361136477585824
43,nan,nan,nan,0.007487511265068731,0.0076035561341155425,nan,nan,0.3,6.218406918460604e-05,1.9412053990472544e-05,1.0,0.28361136477585824
44,nan,nan,nan,0.007411638843653013,0.007426729247275646,nan,nan,0.3,6.149626900268534e-05,1.8960610874415042e-05,1.0,0.28361136477585824
45,nan,nan,nan,0.007345776333280139,0.007278340372413014,nan,nan,0.3,6.083076646373253e-05,1.852968789999652e-05,1.0,0.2845089835291781
46,nan,nan,nan,0.007438746655020024,0.007286301618551959,nan,nan,0.3,6.018638398693921e-05,1.8117917057774374e-05,1.0,0.29214557997784363
47,nan,nan,nan,0.007368961537122389,0.007303502679898322,nan,nan,0.3,5.956202912879019e-05,1.7724049295648843e-05,1.0,0.284068029537359
48,nan,nan,nan,0.007340216832037838,0.007328253357681143,nan,nan,0.3,5.895668684138748e-05,1.7346941863826528e-05,1.0,0.27560124500166805
49,nan,nan,nan,0.007319918028639848,0.007187315840085538,nan,nan,0.3,5.8369412572758255e-05,1.6985547241663474e-05,0.0,0.27503799248857597
50,nan,nan,nan,0.00730067771741787,0.0070436061467015676,nan,nan,0.3,5.7799326103201605e-05,1.6638903420405036e-05,1.0,0.274892451624305
51,nan,nan,nan,0.007310544503194167,0.00693558328636148,nan,nan,0.29984019652007016,6.0897266833066754e-05,1.9502194950593575e-05,0.0,0.2732499884946078
52,nan,nan,nan,0.007403568099983423,0.006869414886744199,nan,nan,0.2985305849433393,0.00020896045433680416,4.47984573384422e-05,1.0,0.26968899358872767
53,nan,nan,nan,0.007475781707259327,0.006744668145334113,nan,nan,0.2995265461762891,0.00021519382504055307,6.309004917712246e-05,1.0,0.2700715779221474
54,nan,nan,nan,0.007560045137521128,0.0066321716359518754,nan,nan,0.29886047667081217,0.0002589856712796921,7.446702005070372e-05,1.0,0.2692892247740719
55,nan,nan,nan,0.007499134494117739,0.006665505945474014,nan,nan,0.29019642999642,0.001325695415980194,0.00023353330994591644,1.0,0.27772144912421926
56,nan,nan,nan,0.007627454384069182,0.006733282900872542,nan,nan,0.2925355067721509,0.0016247909036259253,0.0002718159184147347,0.0,0.2673282106318262
57,nan,nan,nan,0.007562867740296641,0.006867381836074362,nan,nan,0.29464242461023715,0.0017382610572892535,0.00030458559555172606,1.0,0.28157103390400073
58,nan,nan,nan,0.007597505687152938,0.006938705936634932,nan,nan,0.29443997285689066,0.0018465580854637256,0.0003027937737586517,0.0,0.2706381783359739
59,nan,nan,nan,0.007659904926786529,0.0068446309796998984,nan,nan,0.2878417658595502,0.0023658212666228524,0.00041133538106178676,0.0,0.2691558199015709
60,nan,nan,nan,0.0081661787333612,0.007304934337912617,nan,nan,0.28914243537658524,0.002679397392073543,0.0004264088409935371,1.0,0.30315834901582117
61,nan,nan,nan,0.008102535305728168,0.007535472786490868,nan,nan,0.28123417479803187,0.003492760897624986,0.0005511063699528677,1.0,0.28202110776321354
62,nan,nan,nan,0.008143534360881194,0.007613393189551505,nan,nan,0.2790793289095188,0.004262515428171023,0.000577397181732543,1.0,0.2697324903900238
63,nan,nan,nan,0.008101417293301863,0.007734379068097894,nan,nan,0.2765959992587039,0.005035631895668396,0.0006081380280080654,0.0,0.2848470080494514
64,nan,nan,nan,0.008057140490078734,0.007758746320230084,nan,nan,0.269696591981283,0.006115003985249794,0.0007079994446654118,0.0,0.27557749209702553
65,nan,nan,nan,0.008119670341773364,0.007886573381099524,nan,nan,0.2602230442792988,0.007620610209263776,0.0008449611361860173,0.0,0.2915171703128998
66,nan,nan,nan,0.00874536263359606,0.008018782252484445,nan,nan,0.25845392923699395,0.008915555211837648,0.0008591788885878458,1.0,0.30799732033401916
67,nan,nan,nan,0.008821886874046602,0.008115443685506998,nan,nan,0.25714542117058437,0.010054633935263674,0.0008659869064336298,1.0,0.2935988835020462
68,nan,nan,nan,0.00878018633731625,0.008264934161276037,nan,nan,0.2591653412460558,0.0109177262201974,0.0008832097895535967,1.0,0.27546757794001353
69,nan,nan,nan,0.00877749528025173,0.008193556145744,nan,nan,0.25495346431065186,0.011866995994118916,0.0009321607769925721,1.0,0.27205634883491614
70,nan,nan,nan,0.008828634506509241,0.008123947091841837,nan,nan,0.25058645988286515,0.01289762259616843,0.0009819411197577045,1.0,0.2686658174084213
71,nan,nan,nan,0.008804201733648698,0.008274760243917559,nan,nan,0.25454448600253904,0.013631371461750464,0.001024456619756507,0.0,0.2873466851455637
72,nan,nan,nan,0.009755699043171053,0.008582913869789294,nan,nan,0.25087656172606515,0.014430927858713577,0.0010616885585835124,0.0,0.31750035282637445
73,nan,nan,nan,0.010199888682500283,0.008589264073115508,nan,nan,0.2537107531563915,0.015042575101015657,0.0010863066540243854,1.0,0.30846022431709774
74,nan,nan,nan,0.010198556022176338,0.008702935526205817,nan,nan,0.25506473049588946,0.015552725355225824,0.0010899733757432013,1.0,0.29157294416838964
75,nan,nan,nan,0.010770902289317564,0.008880859644993267,nan,nan,0.2596327875370058,0.015887918776351286,0.0011369745063563518,1.0,0.3134422644848667
76,nan,nan,nan,0.010833225379153698,0.008983804397495803,nan,nan,0.26750957247135154,0.01601896451491161,0.0012268386453962103,1.0,0.2968405484021832
77,nan,nan,nan,0.010879891899823932,0.009243864625005793,nan,nan,0.26868778568666474,0.01611796571606222,0.0012261988371056443,1.0,0.2680921667139282
78,nan,nan,nan,0.010813155642212685,0.009273646677071033,nan,nan,0.26953442205001693,0.016194325764328176,0.0012212694543296254,1.0,0.2796292493479575
79,nan,nan,nan,0.010747833565459889,0.009155711250996741,nan,nan,0.2644355847789689,0.016356467307679607,0.0012709818622362718,1.0,0.2795545659046812
