t,cov_w,gap_w,width_mean_w,width_std_w,width_step_mean_w,ces_w,rcs_w,control_state,control_std_w,control_step_mean_w,covered_t,width_t
1,nan,nan,nan,nan,nan,nan,nan,0.3,nan,nan,1.0,0.258089892633403
2,nan,nan,nan,0.0014536438153526232,0.0029072876307052464,nan,nan,0.3,0.0,0.0,1.0,0.26099718026410823
3,nan,nan,nan,0.0015000885241731187,0.0031534706158561354,nan,nan,0.3,0.0,0.0,1.0,0.2575975266631012
4,nan,nan,nan,0.00184115806042194,0.0026742025618819256,nan,nan,0.3,0.0,0.0,1.0,0.2558818602091677
5,nan,nan,nan,0.003938545007677016,0.0036768027354355803,nan,nan,0.3,0.0,0.0,1.0,0.24919725695307116
6,nan,nan,nan,0.0036434948417130445,0.004055833110636309,nan,nan,0.3,0.0,0.0,1.0,0.2547692115645104
7,nan,nan,nan,0.00438237814492364,0.004492398553709975,nan,nan,0.3,0.0,0.0,1.0,0.24809398579543207
8,nan,nan,nan,0.004467220625516972,0.004062755235037185,nan,nan,0.3,0.0,0.0,1.0,0.24957888111843252
9,nan,nan,nan,0.004213611845915436,0.004092012737011735,nan,nan,0.3,0.0,0.0,1.0,0.2538756963692661
10,nan,nan,nan,0.0044010274974645314,0.004279756941103102,nan,nan,0.3,5.551115123125783e-17,0.0,1.0,0.24809398579543207
11,nan,nan,nan,0.004486611947495594,0.0038517812469927915,nan,nan,0.3,5.551115123125783e-17,0.0,1.0,0.24809398579543207
12,nan,nan,nan,0.004514236657485664,0.003501619315447992,nan,nan,0.3,5.551115123125783e-17,0.0,1.0,0.24809398579543207
13,nan,nan,nan,0.004507237893794285,0.003209817705827326,nan,nan,0.3,5.551115123125783e-17,0.0,1.0,0.24809398579543207
14,nan,nan,nan,0.004842826634378963,0.003929577945914941,nan,nan,0.3,5.551115123125783e-17,0.0,1.0,0.2606606866223984
15,nan,nan,nan,0.005214067501613616,0.0037562500139385175,nan,nan,0.3,5.551115123125783e-17,0.0,0.0,0.2621636735206434
16,nan,nan,nan,0.005092084915206577,0.004263036335206157,nan,nan,0.3,0.0,0.0,1.0,0.2508056286876903
17,nan,nan,nan,0.004957535447872719,0.004268032570541758,nan,nan,0.3,0.0,0.0,1.0,0.25514860478826606
18,nan,nan,nan,0.004856608792678581,0.0042720974102385826,nan,nan,0.3,0.0,0.0,1.0,0.2508114699428783
19,nan,nan,nan,0.005342266286498951,0.004794236192896244,nan,nan,0.3,0.0,0.0,1.0,0.26448206544095476
20,nan,nan,nan,0.005875175772632226,0.00464328778434675,nan,nan,0.3,5.551115123125783e-17,0.0,1.0,0.26640828187141063
21,nan,nan,nan,0.007525648824131372,0.0049625394516811805,nan,nan,0.3,5.551115123125783e-17,0.0,1.0,0.277436603002446
22,nan,nan,nan,0.00771359069328657,0.00523118351696654,nan,nan,0.3,5.551115123125783e-17,0.0,1.0,0.26683253817977226
23,nan,nan,nan,0.007585647548593201,0.005656009277572755,nan,nan,0.3,5.551115123125783e-17,0.0,1.0,0.252255187929469
24,nan,nan,nan,0.007566187250887954,0.005563802938728746,nan,nan,0.3,0.0,0.0,1.0,0.24871992444530844
25,nan,nan,nan,0.007506449263556747,0.005371102305112276,nan,nan,0.3,0.0,0.0,1.0,0.2496589121772419
26,nan,nan,nan,0.007439543959468562,0.0051625286215381564,nan,nan,0.3,5.551115123125783e-17,0.0,1.0,0.24981567239300118
27,nan,nan,nan,0.007371408369653114,0.004963969828402073,nan,nan,0.3,0.0,0.0,0.0,0.24981567239300118
