t,cov_w,gap_w,width_mean_w,width_std_w,width_step_mean_w,ces_w,rcs_w,control_state,control_std_w,control_step_mean_w,covered_t,width_t
1,nan,nan,nan,nan,nan,nan,nan,0.2659512678354001,nan,nan,1.0,0.19560531211628995
2,nan,nan,nan,0.016495793430142958,0.032991586860285915,nan,nan,0.2764164194296179,0.005232575797108924,0.010465151594217847,0.0,0.22859689897657587
3,nan,nan,nan,0.021263410246217668,0.025699710132131126,nan,nan,0.2726935765967723,0.0043312518601144896,0.007093997213531739,1.0,0.2470047323805522
4,nan,nan,nan,0.018787718536650466,0.022021656232759534,nan,nan,0.2745222430447423,0.003946764697792184,0.005338886958344502,1.0,0.23233918394653585
5,nan,nan,nan,0.018397790700589375,0.02281048448392875,nan,nan,0.27220268285373295,0.003530939405228458,0.00458405526651072,1.0,0.20716221470909946
6,nan,nan,nan,0.017285896907723305,0.019048793384184793,nan,nan,0.27106245592787154,0.0032592104316185888,0.0038952895983808576,1.0,0.21116424369430842
7,nan,nan,nan,0.016557435592117177,0.019421184772785094,nan,nan,0.27032859712411506,0.003083403324969726,0.0033683844659434616,1.0,0.23244738541009502
8,nan,nan,nan,0.01761837191975784,0.0187883850044644,nan,nan,0.2823500983784678,0.004505921025759106,0.004604544007144789,1.0,0.24743897180463525
9,nan,nan,nan,0.020427978363669698,0.01839188220173882,nan,nan,0.2871732700058559,0.006112008791031348,0.004631872459675203,1.0,0.263055334387295
10,nan,nan,nan,0.020121199048545833,0.01808070284449907,nan,nan,0.28364458381340896,0.0063835727294384486,0.004509296207760953,1.0,0.24746406640071394
11,nan,nan,nan,0.02035516392895518,0.020262553482117716,nan,nan,0.2872842691722089,0.006947064759289968,0.0044223351228648514,1.0,0.20756485718002837
12,nan,nan,nan,0.02073528958702544,0.01879413371788258,nan,nan,0.2940266108213552,0.008196932086720149,0.004633244807072259,1.0,0.20345492110449714
13,nan,nan,nan,0.020894509107355096,0.017241233984051845,nan,nan,0.2969966763913519,0.00934208071828062,0.0044946465373159605,1.0,0.20329558419258342
14,nan,nan,nan,0.02090443402456134,0.015914985216047856,nan,nan,0.29577565398262196,0.009920652660832988,0.004242829296655499,1.0,0.20329558419258342
15,nan,nan,nan,0.020818802989208886,0.014778200557758723,nan,nan,0.29988594265753077,0.01070770936856,0.004233362109387878,1.0,0.20329558419258342
16,nan,nan,nan,0.02066140277662608,0.013805300712123462,nan,nan,0.2999969204517533,0.011243789737606306,0.003958536488376855,1.0,0.20348028706581323
17,nan,nan,nan,0.02006050389842452,0.014252821543728963,nan,nan,0.29999991685219735,0.01160669022867342,0.0037113152328810545,1.0,0.2244459210836247
18,nan,nan,nan,0.019963248868871856,0.01470638107782381,nan,nan,0.2999999977550093,0.011850564402406161,0.0034930073311122837,1.0,0.20248258746028336
19,nan,nan,nan,0.019433269470472688,0.014796558695937137,nan,nan,0.29999999993938525,0.012009892006684163,0.0032989514896269324,1.0,0.21881216566414707
20,nan,nan,nan,0.01934535186566792,0.01489853853416631,nan,nan,0.2999999999983634,0.012107668575764797,0.003125322466961207,1.0,0.20207799004185567
21,nan,nan,nan,0.01892568092926894,0.014699455681067775,nan,nan,0.2999999999999558,0.012159817380895645,0.0029690563436927664,1.0,0.21299487151405128
22,nan,nan,nan,0.020082810926760557,0.01607360525091227,nan,nan,0.29999999999999877,0.01217768643207763,0.0028276727082808713,1.0,0.2565514681618535
23,nan,nan,nan,0.020051631220872113,0.01607597810706394,nan,nan,0.29999999999999993,0.012169549088661764,0.0026991421306317934,1.0,0.2404256600756045
24,nan,nan,nan,0.01998959738926744,0.01537806831745456,nan,nan,0.3,0.012141549273267912,0.002581788124952153,1.0,0.24040160712955627
25,nan,nan,nan,0.01978148375275591,0.016082413539150936,nan,nan,0.3,0.012098319464764586,0.002474213619745813,1.0,0.2081192534913887
26,nan,nan,nan,0.01939906973752135,0.015929237846511235,nan,nan,0.3,0.012043397202537415,0.0023752450749559804,1.0,0.22037227471454712
27,nan,nan,nan,0.019250012103824838,0.015849139121667376,nan,nan,0.3,0.011979512976026034,0.0022838894951499812,1.0,0.2065256037139762
28,nan,nan,nan,0.01913533907094418,0.015315242216858826,nan,nan,0.3,0.011908793519883151,0.0021993009953296117,1.0,0.2050916810221397
29,nan,nan,nan,0.019058383076392568,0.014825934086044466,nan,nan,0.3,0.011832908038492422,0.002120754531210697,1.0,0.20347706646808295
30,nan,nan,nan,0.018945278017984308,0.014345788873009137,nan,nan,0.3,0.011753175079440195,0.0020476250646172247,1.0,0.20437878937610288
31,nan,nan,nan,0.018825910741368208,0.013867595910575499,nan,nan,0.3,0.011670641753943122,0.0019793708957966507,1.0,0.20437878937610288
32,nan,nan,nan,0.018544957568157355,0.013749325724707655,nan,nan,0.3,0.011586143197624955,0.001915520221738694,1.0,0.21458000952477518
33,nan,nan,nan,0.01853881212487867,0.013769653101529118,nan,nan,0.3,0.011500347701186315,0.0018556602148093598,1.0,0.2001802077417807
34,nan,nan,nan,0.018331542664141602,0.014181362184054814,nan,nan,0.3,0.011413791309965574,0.001799428087087864,1.0,0.22753626056665777
35,nan,nan,nan,0.01843953321576271,0.014149313242266596,nan,nan,0.3,0.011326904591359776,0.00174650373158528,1.0,0.24062795872991316
36,nan,nan,nan,0.018184754006785063,0.014417453474852472,nan,nan,0.3,0.011240033514080648,0.0016966036249685575,1.0,0.21709373734714088
37,nan,nan,nan,0.018058082843115875,0.014318656788622455,nan,nan,0.3,0.011153455856953137,0.0016494757464972087,0.0,0.20623296457656903
38,nan,nan,nan,0.018226616857452263,0.014240862185045286,nan,nan,0.3,0.011067394192949456,0.0016048953209162032,0.0,0.1947927081203018
39,nan,nan,nan,0.01836509785308131,0.013866102653859885,nan,nan,0.3,0.01098202622779685,0.0015626612335236714,0.0,0.1947927081203018
