setting,cp_mode,target_coverage,coverage,coverage_gap,avg_width,ces,rcs,point_mse,point_mae,comment
conformal_acp_lags96_modellinear_cpacp_a0.1_cw200_seed0_modeonline_debug-0_M0,acp,0.9,0.904603068712475,0.004603068712474956,0.22552008248828243,0.7520870471728355,0.7440095775575196,0.0045853322164198605,0.05284522497460179,
conformal_acp_lags96_modellinear_cpacp_a0.1_cw200_seed0_modeonline_debug-0_M0,acp,0.9,0.9039359573048699,0.0039359573048698415,0.2278405701140075,0.7542158760985652,0.7472906606636097,0.0045853322164198605,0.05284522497460179,
conformal_acp_lags96_modellinear_cpacp_a0.1_cw200_seed0_modeonline_debug-0_M0,acp,0.9,0.9206137424949966,0.02061374249499659,0.28795577202711814,0.6376509864622688,0.5973938277093677,0.0045853322164198605,0.05284522497460179,
conformal_acp_lags96_modellinear_cpacp_a0.1_cw200_seed0_modeonline_debug-0_M0,acp,0.9,0.8992661774516344,0.0007338225483656258,0.26003549116816554,0.7494309803115121,0.7480655976936885,0.0045853322164198605,0.05284522497460179,
conformal_acp_lags96_modellinear_cpacp_a0.1_cw200_seed0_modeonline_debug-0_M0,acp,0.9,0.8992661774516344,0.0007338225483656258,0.24536446174786727,0.7599383897676643,0.7586126806351655,0.0045853322164198605,0.05284522497460179,
exchange_rate.csv_lags96_modellinear_cpacp_modeonline_seed0,acp,0.9,0.8992661774516344,0.0007338225483656258,0.1661110973601656,0.8222121396994246,0.82115514915475,0.0027498955562279643,0.041426416885063023,
exchange_rate.csv_lags96_modelDLinear_cpacp_modeonline_seed0,acp,0.9,0.8859591298615689,0.014040870138431139,0.6239678624230467,0.5602939225676454,0.5284720726714986,0.021487515148747437,0.11786789257980604,
exchange_rate.csv_lags96_modelDLinear_cpaci_modeonline_seed0,aci,0.9,0.9004614370468029,0.00046143704680290387,0.5654535922630098,0.6295026086477752,0.628429979084219,0.021487515148747437,0.11786789257980604,
exchange_rate.csv_lags96_modelDLinear_cpagaci_modeonline_seed0,agaci,0.9,0.5800922874093606,0.31990771259063944,0.4496157247845457,0.21443612857104088,0.027862726048547226,0.021487515148747437,0.11786789257980604,
exchange_rate.csv_lags96_modelDLinear_cpcqr_modeonline_seed0,cqr,0.9,0.984838497033619,0.08483849703361901,0.319787075140949,0.4590045473451647,0.3218253201679236,0.021487515148747437,0.11786789257980604,
exchange_rate.csv_lags96_modelDLinear_cpdfpi_modeonline_seed0,dfpi,0.9,0.994726433750824,0.09472643375082401,0.7990694046020508,0.3606905396680995,0.21247065613487426,0.021487515148747437,0.11786789257980604,
exchange_rate.csv_lags96_modeliTransformer_cpacp_modeonline_seed0,acp,0.9,0.8905735003295979,0.0094264996704021,0.5279229680606746,0.6099611462468165,0.588953648881203,0.01684039936251283,0.09312802183840255,
exchange_rate.csv_lags24_modeliTransformer_cpacp_modeonline_seed0,acp,0.9,0.8912326961107448,0.008767303889255174,0.5405065220392476,0.6075881531598881,0.5879045591371939,0.01684039936251283,0.09312802183840255,
exchange_rate.csv_lags96_modelDLinear_cpenbpi_modeonline_seed0,enbpi,0.9,0.4693473961766645,0.43065260382333553,0.2522563009602512,0.17962899450553457,0.010694372149461607,0.021487515148747437,0.11786789257980604,
exchange_rate.csv_lags96_modelDLinear_cphopcpt_modeonline_seed0,hopcpt,0.9,0.9261700725115359,0.026170072511535913,0.6159689520627778,0.526923385092698,0.4704708814240503,0.021487515148747437,0.11786789257980604,
exchange_rate.csv_lags96_modelDLinear_cpnex_modeonline_seed0,nex,0.9,0.8998022412656559,0.00019775873434413338,0.547554775492958,0.6379850057611567,0.6375289332119108,0.021487515148747437,0.11786789257980604,
exchange_rate.csv_lags96_modelTimesNet_cpacp_modeonline_seed0,acp,0.9,0.8866183256427159,0.013381674357284101,1.0942689951890845,0.4417227560493618,0.4106719130532879,0.07632783164523307,0.2032512201631077,
exchange_rate.csv_lags96_modelTimesNet_cpaci_modeonline_seed0,aci,0.9,0.8998022412656559,0.00019775873434413338,inf,0.0,0.0,0.07632783164523307,0.2032512201631077,
