setting,cp_mode,target_coverage,worst_window_coverage,width_step_mean,width_std,control_alpha_step_mean,control_alpha_std,comment
exchange_rate.csv_lags96_modelDLinear_cphopcpt_modeonline_seed0,hopcpt,0.9,0.73,0.0016821193854465934,0.2574372263125775,0.0,1.3877787807814457e-17,
exchange_rate.csv_lags96_modelTimesNet_cpacp_modeonline_seed0,acp,0.9,0.73,0.023782056981344814,0.597541518872744,0.004025546015157854,0.10121041628909508,
exchange_rate.csv_lags96_modelTimesNet_cpaci_modeonline_seed0,aci,0.9,0.72,0.00919821249541416,0.47182033564279274,0.0018021108179419537,0.059997414820636565,
exchange_rate.csv_lags96_modelTimesNet_cpagaci_modeonline_seed0,agaci,0.9,0.67,0.030382471325421122,0.8141728190412569,0.0,1.3877787807814457e-17,
exchange_rate.csv_lags96_modelTimesNet_cphopcpt_modeonline_seed0,hopcpt,0.9,0.32,0.0037264112481624457,0.32534316821127973,0.0,1.3877787807814457e-17,
exchange_rate.csv_lags96_modeliTransformer_cpacp_modeonline_seed0,acp,0.9,0.79,0.010781688570215931,0.3466862897656397,0.0038217330186673735,0.08971922447339997,
exchange_rate.csv_lags96_modeliTransformer_cpaci_modeonline_seed0,aci,0.9,0.76,0.004343264261881511,0.2944788981170331,0.0018021108179419542,0.04794174351782048,
exchange_rate.csv_lags96_modeliTransformer_cpagaci_modeonline_seed0,agaci,0.9,0.44,0.007481056640151411,0.32552352270275936,0.0,1.3877787807814457e-17,
exchange_rate.csv_lags96_modeliTransformer_cphopcpt_modeonline_seed0,hopcpt,0.9,0.37,0.0018905602895949835,0.29315020543646675,0.0,1.3877787807814457e-17,
exchange_rate.csv_lags96_modeliTransformer_cphopcpt_modeonline_seed0,hopcpt,0.9,0.37,0.0018905602895949835,0.29315020543646675,0.0,1.3877787807814457e-17,
exchange_rate.csv_lags96_modeliTransformer_cpacp_modeonline_seed0,acp,0.9,0.79,0.010781688570215931,0.3466862897656397,0.0038217330186673735,0.08971922447339997,
exchange_rate.csv_lags96_modeliTransformer_cpacp_modeonline_seed0,acp,0.9,0.78,0.009542084038109935,0.3440058360375277,0.003543670192513524,0.08760161658082295,
exchange_rate.csv_lags96_modeliTransformer_cpacp_modeonline_seed0,acp,0.9,0.81,0.015895815664495525,0.3342730186921547,0.008543038655296424,0.08598772266841678,
exchange_rate.csv_lags96_modeliTransformer_cpacp_modeonline_seed0,acp,0.9,0.61,0.006553783763178435,0.377100192166404,0.0,1.3877787807814457e-17,
exchange_rate.csv_lags96_modeliTransformer_cpacp_modeonline_seed0,acp,0.9,0.79,0.0096491987195166,0.344240773095391,0.003622770352060009,0.08794434869578378,
exchange_rate.csv_lags96_modeliTransformer_cpacp_modeonline_seed0,acp,0.9,0.76,0.013863639290792241,0.21703381979928532,0.003346405778434985,0.05473724515295284,
exchange_rate.csv_lags96_modelDLinear_cpacp_modeonline_seed0,acp,0.9,0.78,0.011398655131694229,0.3735147469759976,0.0038616232471484027,0.10310416727586848,
exchange_rate.csv_lags96_modelDLinear_cpacp_modeonline_seed0,acp,0.9,0.76,0.01029510304792575,0.3642228006965952,0.003546116489204569,0.10292538831586924,
exchange_rate.csv_lags96_modelDLinear_cpacp_modeonline_seed0,acp,0.9,0.82,0.0158058721501952,0.2779809718790698,0.007523253037502414,0.10019689158892842,
exchange_rate.csv_lags96_modelDLinear_cpacp_modeonline_seed0,acp,0.9,0.57,0.007073972197997258,0.3235566495102114,0.0,1.3877787807814457e-17,
exchange_rate.csv_lags96_modelDLinear_cpacp_modeonline_seed0,acp,0.9,0.76,0.010366352228135969,0.3630180904553975,0.003594274293689488,0.10375842495321508,
exchange_rate.csv_lags96_modelDLinear_cpacp_modeonline_seed0,acp,0.9,0.74,0.011034624346312454,0.19041475708035116,0.0035586224461457592,0.08376514990951789,
exchange_rate.csv_lags96_modelTimesNet_cpacp_modeonline_seed0,acp,0.9,0.73,0.023782056981344814,0.597541518872744,0.004025546015157854,0.10121041628909508,
exchange_rate.csv_lags96_modelTimesNet_cpacp_modeonline_seed0,acp,0.9,0.71,0.021347919049798634,0.5542738997240855,0.003810817750584829,0.10288159657215844,
exchange_rate.csv_lags96_modelTimesNet_cpacp_modeonline_seed0,acp,0.9,0.77,0.03339753537333166,0.4735028970718964,0.008026251622099235,0.08856854535772254,
exchange_rate.csv_lags96_modelTimesNet_cpacp_modeonline_seed0,acp,0.9,0.69,0.013873124160719666,0.507349350971486,0.0,1.3877787807814457e-17,
exchange_rate.csv_lags96_modelTimesNet_cpacp_modeonline_seed0,acp,0.9,0.7,0.02133836723190924,0.5513658756678343,0.003855448969397291,0.10297240398250836,
exchange_rate.csv_lags96_modelTimesNet_cpacp_modeonline_seed0,acp,0.9,0.75,0.021679949932270123,0.47342210703896676,0.003339120710178626,0.06930151102150733,
