t,cov_w,gap_w,width_mean_w,width_std_w,width_step_mean_w,ces_w,rcs_w,control_state,control_std_w,control_step_mean_w,covered_t,width_t
1,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,1.0,0.19617843627929688
2,nan,nan,nan,0.0,0.0,nan,nan,0.1,0.0,0.0,1.0,0.19617843627929688
3,nan,nan,nan,0.00040977975912191906,0.00043463706970214844,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.19530916213989258
4,nan,nan,nan,0.00043463706970214844,0.00028975804646809894,nan,nan,0.1,0.0,0.0,1.0,0.19530916213989258
5,nan,nan,nan,0.0004258556176274999,0.00021731853485107422,nan,nan,0.1,0.0,0.0,1.0,0.19530916213989258
6,nan,nan,nan,0.0019781464696743624,0.0011451959609985352,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.1904524564743042
7,nan,nan,nan,0.002378503832665881,0.0009543299674987793,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.1904524564743042
8,nan,nan,nan,0.0025419702091806127,0.0008179971149989537,nan,nan,0.1,0.0,0.0,1.0,0.1904524564743042
9,nan,nan,nan,0.0027048052801320614,0.0008078962564468384,nan,nan,0.1,0.0,0.0,1.0,0.18971526622772217
10,nan,nan,nan,0.0027778484424398576,0.000718130005730523,nan,nan,0.1,0.0,0.0,1.0,0.18971526622772217
11,nan,nan,nan,0.0028030306708594853,0.0006463170051574707,nan,nan,0.1,0.0,0.0,1.0,0.18971526622772217
12,nan,nan,nan,0.0034074197246391842,0.0010143626819957387,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.18502044677734375
13,nan,nan,nan,0.003763049837820376,0.0009298324584960938,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.18502044677734375
14,nan,nan,nan,0.003986169058661463,0.000858306884765625,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.18502044677734375
15,nan,nan,nan,0.0041287981602041645,0.0007969992501395089,nan,nan,0.1,2.7755575615628914e-17,0.0,0.0,0.18502044677734375
16,nan,nan,nan,0.004220262355196845,0.00148773193359375,nan,nan,0.1,0.0,0.0,1.0,0.19617843627929688
17,nan,nan,nan,0.004221321979582131,0.0014490783214569092,nan,nan,0.1,0.0,0.0,1.0,0.19530916213989258
18,nan,nan,nan,0.004209112680608863,0.001363838420194738,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.19530916213989258
19,nan,nan,nan,0.004102611737022001,0.0015578866004943848,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.1904524564743042
20,nan,nan,nan,0.004003779300841204,0.001475892568889417,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.1904524564743042
21,nan,nan,nan,0.003911740345355224,0.0014020979404449462,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.1904524564743042
22,nan,nan,nan,0.0038280255207130635,0.0013454755147298176,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.19023942947387695
23,nan,nan,nan,0.003749430510340032,0.0012843175367875533,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.19023942947387695
24,nan,nan,nan,0.0036754575535404644,0.0012284776438837466,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.19023942947387695
25,nan,nan,nan,0.0036056735775001057,0.0011772910753885906,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.19023942947387695
26,nan,nan,nan,0.0036670728819942194,0.0013677597045898438,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.19617843627929688
27,nan,nan,nan,0.003713942400488877,0.0013151535621056189,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.19617843627929688
28,nan,nan,nan,0.0038510924719170983,0.0013398241113733362,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.19815969467163086
29,nan,nan,nan,0.004408315550641525,0.0015050343104771205,nan,nan,0.1,2.7755575615628914e-17,0.0,0.0,0.20412540435791016
30,nan,nan,nan,0.004989180650948238,0.0015152158408329405,nan,nan,0.1,2.7755575615628914e-17,0.0,0.0,0.20592570304870605
31,nan,nan,nan,0.007301558172229733,0.002041006088256836,nan,nan,0.1,2.7755575615628914e-17,0.0,0.0,0.22321462631225586
32,nan,nan,nan,0.008883467781027953,0.0019881802220498364,nan,nan,0.1,0.0,0.0,0.0,0.2236180305480957
