t,cov_w,gap_w,width_mean_w,width_std_w,width_step_mean_w,ces_w,rcs_w,control_state,control_std_w,control_step_mean_w,covered_t,width_t
1,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,0.0,0.5148462801874045
2,nan,nan,nan,0.004947398242386991,0.009894796484773982,nan,nan,0.1,0.0,0.0,1.0,0.5247410766721785
3,nan,nan,nan,0.0042771292038796035,0.005930124031010675,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.5227756250949311
4,nan,nan,nan,0.003803055320357078,0.003954244315893825,nan,nan,0.1,0.0,0.0,1.0,0.5227781099805913
5,nan,nan,nan,0.003454607468523686,0.0029694111435688564,nan,nan,0.1,0.0,0.0,1.0,0.5227930216071852
6,nan,nan,nan,0.0031839765542561287,0.0023813446808294446,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.5227639427773134
7,nan,nan,nan,0.002968044521057315,0.0019858365059608105,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.5227722384089311
8,nan,nan,nan,0.002777471553733366,0.0017892056244686674,nan,nan,0.1,0.0,0.0,1.0,0.5221628180734152
9,nan,nan,nan,0.002647794604759951,0.0017475334185175773,nan,nan,0.1,0.0,0.0,1.0,0.5207069900965553
10,nan,nan,nan,0.00253423473070045,0.0015544751124656228,nan,nan,0.1,0.0,0.0,1.0,0.5206969814325053
11,nan,nan,nan,0.0024334990564042706,0.0013992313367758857,nan,nan,0.1,0.0,0.0,1.0,0.5206990187880736
12,nan,nan,nan,0.0023437881163204262,0.001272802361175965,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.5206905061828968
13,nan,nan,nan,0.0031260315499664617,0.0017743940467337589,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.5133986035950273
14,nan,nan,nan,0.0035809572653332867,0.0016384685663526184,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.5133912407932484
15,nan,nan,nan,0.0038741312936780305,0.0015220797773763475,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.5133822152725636
16,nan,nan,nan,0.0062024544817162654,0.002346074906189921,nan,nan,0.1,0.0,0.0,1.0,0.4995002085629836
17,nan,nan,nan,0.007516013082902696,0.0022000449388969723,nan,nan,0.1,0.0,0.0,1.0,0.49949061313348087
18,nan,nan,nan,0.008542871964986959,0.0021486862136047623,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.49816366652455146
19,nan,nan,nan,0.009261699625560024,0.002029358693702416,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.49816287566918893
20,nan,nan,nan,0.009783524988846899,0.0019225649911339155,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.498162597324288
21,nan,nan,nan,0.010169518619582405,0.0018264508785569178,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.49816231458469407
22,nan,nan,nan,0.010457100771448744,0.001739683170796567,nan,nan,0.1,2.7755575615628914e-17,0.0,0.0,0.4981666436002836
23,nan,nan,nan,0.010227407056892748,0.0023526052987792516,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.5133906135866992
24,nan,nan,nan,0.13595448673001384,0.03173931499799967,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,1.191637541967548
25,nan,nan,nan,0.16951865094393895,0.035217419855943205,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,1.0764237103789034
26,nan,nan,nan,0.17979656418344744,0.040100986752062334,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.919117118119982
27,nan,nan,nan,0.18536228666858695,0.040162289394694566,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.8774222626594816
28,nan,nan,nan,0.1896715289990664,0.038765439214552874,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.8749749281286128
29,nan,nan,nan,0.19285566158758313,0.0375711713623648,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.869648988775326
30,nan,nan,nan,0.19467088508050495,0.036854841114168625,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.8528513946106502
31,nan,nan,nan,0.19500652830723136,0.03659911350350445,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.8236683818164068
32,nan,nan,nan,0.19418108526819086,0.03645877031393388,nan,nan,0.1,0.0,0.0,1.0,0.79141990718959
33,nan,nan,nan,0.1928176942001666,0.035922084880237584,nan,nan,0.1,0.0,0.0,1.0,0.7721350707539376
