t,cov_w,gap_w,width_mean_w,width_std_w,width_step_mean_w,ces_w,rcs_w,control_state,control_std_w,control_step_mean_w,covered_t,width_t
1,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,1.0,0.14238772611133754
2,nan,nan,nan,0.0,0.0,nan,nan,0.1,0.0,0.0,0.0,0.14238772611133754
3,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.14238772611133754
4,nan,nan,nan,0.0,0.0,nan,nan,0.1,0.0,0.0,0.0,0.14238772611133754
5,nan,nan,nan,0.0,0.0,nan,nan,0.1,0.0,0.0,0.0,0.14238772611133754
6,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.14238772611133754
7,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.14238772611133754
8,nan,nan,nan,0.0,0.0,nan,nan,0.1,0.0,0.0,0.0,0.14238772611133754
9,nan,nan,nan,0.0,0.0,nan,nan,0.1,0.0,0.0,0.0,0.14238772611133754
10,nan,nan,nan,0.0,0.0,nan,nan,0.1,0.0,0.0,0.0,0.14238772611133754
11,nan,nan,nan,0.0,0.0,nan,nan,0.1,0.0,0.0,0.0,0.14238772611133754
12,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.14238772611133754
13,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.14238772611133754
14,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.14238772611133754
15,nan,nan,nan,0.0,0.0,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.14238772611133754
16,nan,nan,nan,0.0,0.0,nan,nan,0.1,0.0,0.0,1.0,0.14238772611133754
17,nan,nan,nan,0.0,0.0,nan,nan,0.1,0.0,0.0,0.0,0.14238772611133754
18,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.14238772611133754
19,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.14238772611133754
20,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.14238772611133754
21,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.14238772611133754
22,nan,nan,nan,0.0,0.0,nan,nan,0.1,2.7755575615628914e-17,0.0,0.0,0.14238772611133754
23,nan,nan,nan,0.0,0.0,nan,nan,0.1,2.7755575615628914e-17,0.0,0.0,0.14238772611133754
24,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.14238772611133754
25,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.14238772611133754
26,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.14238772611133754
27,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.14238772611133754
28,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.14238772611133754
29,nan,nan,nan,0.0,0.0,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.14238772611133754
30,nan,nan,nan,0.0,0.0,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.14238772611133754
31,nan,nan,nan,0.000652358391757952,0.00012307392898947,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.13869550824165344
32,nan,nan,nan,0.0008937436449909966,0.0001191038022478742,nan,nan,0.1,0.0,0.0,1.0,0.13869550824165344
33,nan,nan,nan,0.0010614380077978648,0.00011538180842762813,nan,nan,0.1,0.0,0.0,0.0,0.13869550824165344
34,nan,nan,nan,0.0011895947143821478,0.00011188538999042727,nan,nan,0.1,0.0,0.0,0.0,0.13869550824165344
35,nan,nan,nan,0.0012920071142731371,0.00010859464322600295,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.13869550824165344
36,nan,nan,nan,0.0013760083573921846,0.00010549193913383143,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.13869550824165344
37,nan,nan,nan,0.0014460897345568993,0.000102561607491225,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.13869550824165344
38,nan,nan,nan,0.0015052524547216784,9.978967215362433e-05,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.13869550824165344
39,nan,nan,nan,0.0015556238572689625,9.716362814958159e-05,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.13869550824165344
40,nan,nan,nan,0.0015987772357266463,9.467225306882308e-05,nan,nan,0.1,0.0,0.0,1.0,0.13869550824165344
41,nan,nan,nan,0.0016359138644713395,9.23054467421025e-05,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.13869550824165344
