t,cov_w,gap_w,width_mean_w,width_std_w,width_step_mean_w,ces_w,rcs_w,control_state,control_std_w,control_step_mean_w,covered_t,width_t
1,nan,nan,nan,nan,nan,nan,nan,0.2999999999445155,nan,nan,1.0,0.3815247287643606
2,nan,nan,nan,0.019388269867458452,0.038776539734916904,nan,nan,0.2999999999985019,2.6993213220208703e-11,5.398642644038887e-11,1.0,0.3427481890294437
3,nan,nan,nan,0.01618204653556248,0.025524005933866833,nan,nan,0.2999999999999595,2.5799871337733463e-11,2.7722019124709618e-11,1.0,0.35501966116226047
4,nan,nan,nan,0.014562103500007246,0.021643909959807955,nan,nan,0.2999999999999989,2.3810908619671813e-11,1.84944652185474e-11,1.0,0.36890337917395066
5,nan,nan,nan,0.013359317194227376,0.01637627613666348,nan,nan,0.29999999999999993,2.204733076927487e-11,1.3871112591878898e-11,1.0,0.3694767538411807
6,nan,nan,nan,0.012354548398102835,0.013228465541873513,nan,nan,0.3,2.0570269892849855e-11,1.1096901175733365e-11,1.0,0.3688395306784671
7,nan,nan,nan,0.011555009835295714,0.011067853361016677,nan,nan,0.3,1.9332573969656533e-11,9.24741764644447e-12,1.0,0.3691043231351996
8,nan,nan,nan,0.010879694217037468,0.009524558946118937,nan,nan,0.3,1.828355163786216e-11,7.926357982666689e-12,1.0,0.3688395306784671
9,nan,nan,nan,0.010309217473628103,0.00833398907785407,nan,nan,0.3,1.738284415530324e-11,6.935563234833353e-12,1.0,0.3688395306784671
10,nan,nan,nan,0.009819276224043855,0.007407990291425841,nan,nan,0.3,1.6600000367048265e-11,6.164945097629647e-12,1.0,0.3688395306784671
11,nan,nan,nan,0.012541251977759509,0.009307216639716741,nan,nan,0.3,1.5912149703976603e-11,5.548450587866682e-12,1.0,0.39523978445280195
12,nan,nan,nan,0.01201923507793715,0.010684089721399741,nan,nan,0.3,1.5301950167607917e-11,5.044045988969711e-12,1.0,0.3707869639145722
13,nan,nan,nan,0.01408863328842824,0.012169995274110354,nan,nan,0.3,1.4756069865259938e-11,4.623708823222235e-12,1.0,0.3993019202684993
14,nan,nan,nan,0.013593157041495798,0.013181446923766925,nan,nan,0.3,1.4264109791068219e-11,4.268038913743602e-12,1.0,0.37398305354885353
15,nan,nan,nan,0.013134035267506785,0.012477224057150158,nan,nan,0.3,1.3817843952562919e-11,3.963178991333344e-12,1.0,0.3706607267577213
16,nan,nan,nan,0.012719553311937698,0.011770148131135564,nan,nan,0.3,1.3410679463399407e-11,3.6989670585777885e-12,1.0,0.37253181192465257
17,nan,nan,nan,0.013746918630516811,0.012581860594333999,nan,nan,0.3,1.303726826377071e-11,3.4677816174166765e-12,1.0,0.3972893594669631
18,nan,nan,nan,0.013685588159728836,0.012504818207638798,nan,nan,0.3,1.2693224036604738e-11,3.2637944634509894e-12,1.0,0.3860172194464475
19,nan,nan,nan,0.013329805278213699,0.012366833980600345,nan,nan,0.3,1.2374912930169917e-11,3.0824725488148236e-12,1.0,0.37599611732550087
20,nan,nan,nan,0.013000380088597375,0.011715947981621379,nan,nan,0.3,1.207929674638404e-11,2.9202371515087803e-12,1.0,0.37599611732550087
21,nan,nan,nan,0.012694213431464001,0.01113015058254031,nan,nan,0.3,1.1803813925715764e-11,2.774225293933341e-12,1.0,0.37599611732550087
