setting,cp_mode,target_coverage,worst_window_coverage,width_step_mean,width_std,control_alpha_step_mean,control_alpha_std,comment
exchange_rate.csv_lags96_modelPyraformer_cpacp_modeonline_seed0_ABLM1,acp,0.9,0.56,0.021340229281019193,0.07576555810627882,0.0041360090273252345,0.02627083615242752,| ablation=M1
exchange_rate.csv_lags96_modelPyraformer_cpacp_modeonline_seed0_ABLM2,acp,0.9,0.59,0.010224974571515711,0.08147107632726097,0.002502843976029514,0.05529657619750651,| ablation=M2
exchange_rate.csv_lags96_modelPyraformer_cpacp_modeonline_seed0_ABLM3,acp,0.9,0.68,0.0017308088754757539,0.09102952610906695,0.0,1.3877787807814457e-17,| ablation=M3
exchange_rate.csv_lags96_modelPyraformer_cpacp_modeonline_seed0_ABLM4,acp,0.9,0.86,0.04426815304158249,0.15771487034082896,0.009613730304806854,0.05927754265799836,| ablation=M4
exchange_rate.csv_lags96_modelAutoformer_cpacp_modeonline_seed0_ABLM0,acp,0.9,0.66,0.032770323441948974,0.09601880665168808,0.004434581004506147,0.04977122212568588,| ablation=M0
exchange_rate.csv_lags96_modelAutoformer_cpacp_modeonline_seed0_ABLM1,acp,0.9,0.64,0.038394910966167116,0.09769234208578415,0.003972419993133619,0.03100985677393897,| ablation=M1
exchange_rate.csv_lags96_modelAutoformer_cpacp_modeonline_seed0_ABLM2,acp,0.9,0.58,0.033893584196044414,0.07402910692016196,0.004863749371083209,0.04397003901561219,| ablation=M2
exchange_rate.csv_lags96_modelAutoformer_cpacp_modeonline_seed0_ABLM3,acp,0.9,0.78,0.003725567355685702,0.13102218091207785,0.0,1.3877787807814457e-17,| ablation=M3
exchange_rate.csv_lags96_modelAutoformer_cpacp_modeonline_seed0_ABLM4,acp,0.9,0.88,0.08842286844467508,0.1987793351984032,0.00987062034416655,0.04931061925997761,| ablation=M4
exchange_rate.csv_lags96_modelFEDformer_cpacp_modeonline_seed0_ABLM0,acp,0.9,0.57,0.01333282197766867,0.03122488269154831,0.003959767282107839,0.03847948037078747,| ablation=M0
exchange_rate.csv_lags96_modelFEDformer_cpacp_modeonline_seed0_ABLM1,acp,0.9,0.62,0.02635040385194798,0.07353195864868839,0.004315732945369502,0.03392510168522198,| ablation=M1
exchange_rate.csv_lags96_modelFEDformer_cpacp_modeonline_seed0_ABLM2,acp,0.9,0.75,0.006649931094926064,0.02309532938224075,0.002482610654085992,0.02998066235647002,| ablation=M2
exchange_rate.csv_lags96_modelFEDformer_cpacp_modeonline_seed0_ABLM3,acp,0.9,0.92,0.0015501014175367171,0.03242159802082825,0.0,1.3877787807814457e-17,| ablation=M3
exchange_rate.csv_lags96_modelFEDformer_cpacp_modeonline_seed0_ABLM4,acp,0.9,0.87,0.052896814566592544,0.13503783883509732,0.010089646835654338,0.05376877936387838,| ablation=M4
exchange_rate.csv_lags96_modelSCINet_cpacp_modeonline_seed0_ABLM0,acp,0.9,0.77,0.013984216783736125,0.02546393202332733,0.0042200522198292175,0.025762494218938295,| ablation=M0
exchange_rate.csv_lags96_modelSCINet_cpacp_modeonline_seed0_ABLM1,acp,0.9,0.75,0.018509017818593463,0.030639590483079633,0.003503533510129952,0.017177313813487024,| ablation=M1
exchange_rate.csv_lags96_modelSCINet_cpacp_modeonline_seed0_ABLM2,acp,0.9,0.74,0.013012861813789947,0.027801233727838583,0.005028256598349023,0.031540550116798856,| ablation=M2
exchange_rate.csv_lags96_modelSCINet_cpacp_modeonline_seed0_ABLM3,acp,0.9,0.85,0.0009616855685528415,0.02912115256233906,0.0,1.3877787807814457e-17,| ablation=M3
exchange_rate.csv_lags96_modelSCINet_cpacp_modeonline_seed0_ABLM4,acp,0.9,0.87,0.04415740538706683,0.07265993833064907,0.00937548022022096,0.033187226999488034,| ablation=M4
exchange_rate.csv_lags96_modelTSMixer_cpacp_modeonline_seed0_ABLM0,acp,0.9,0.64,0.013108287813210037,0.1282723172463376,0.003220878932135821,0.06717116105385738,| ablation=M0
exchange_rate.csv_lags96_modelTSMixer_cpacp_modeonline_seed0_ABLM1,acp,0.9,0.5,0.02059945560208606,0.04853631392096982,0.004039524038718522,0.032442781621717834,| ablation=M1
exchange_rate.csv_lags96_modelTSMixer_cpacp_modeonline_seed0_ABLM2,acp,0.9,0.61,0.011745847735542823,0.09392739756643326,0.0030365253281422525,0.054265362392388314,| ablation=M2
exchange_rate.csv_lags96_modelTSMixer_cpacp_modeonline_seed0_ABLM3,acp,0.9,0.82,0.002422235985079892,0.18495134600119878,0.0,1.3877787807814457e-17,| ablation=M3
exchange_rate.csv_lags96_modelTSMixer_cpacp_modeonline_seed0_ABLM4,acp,0.9,0.87,0.047510145146227985,0.2141868270463291,0.009378981212251917,0.05882941807032775,| ablation=M4
exchange_rate.csv_lags96_modelTimesNet_cpacp_modeonline_seed0_ABLM0,acp,0.9,0.7,0.01175228883830841,0.025762822500249163,0.0043693141253453764,0.03009732447259295,| ablation=M0
exchange_rate.csv_lags96_modelTimesNet_cpacp_modeonline_seed0_ABLM1,acp,0.9,0.73,0.021799298939341183,0.03745082941651589,0.0037569729218504123,0.021342300661434055,| ablation=M1
exchange_rate.csv_lags96_modelTimesNet_cpacp_modeonline_seed0_ABLM2,acp,0.9,0.74,0.013722823206358457,0.02899942933447759,0.004941505670222995,0.04305387947747172,| ablation=M2
exchange_rate.csv_lags96_modelTimesNet_cpacp_modeonline_seed0_ABLM3,acp,0.9,0.86,0.0011014710253483733,0.03241996514724958,0.0,1.3877787807814457e-17,| ablation=M3
exchange_rate.csv_lags96_modelTimesNet_cpacp_modeonline_seed0_ABLM4,acp,0.9,0.88,0.04683882840940259,0.08955865940538214,0.009535110595761877,0.03591944125903385,| ablation=M4
